user_id,timestamp,page,action,duration_on_page
u1,2024-06-21T12:00:00,homepage,view,5
u1,2024-06-21T12:00:05,search,view,5
u1,2024-06-21T12:00:10,restaurant_page: Pizza Palace,view,10
u1,2024-06-21T12:00:20,menu_item_page: Margherita Pizza,view,8
u1,2024-06-21T12:00:30,cart,add_item,5
u1,2024-06-21T12:00:35,checkout,click,10

u2,2024-06-21T12:01:00,homepage,view,4
u2,2024-06-21T12:01:04,offers,view,5
u2,2024-06-21T12:01:09,restaurant_page: Sushi World,view,12
u2,2024-06-21T12:01:21,menu_item_page: Salmon Roll,view,7
u2,2024-06-21T12:01:28,cart,add_item,4
u2,2024-06-21T12:01:32,cart,clear_cart,3
u2,2024-06-21T12:01:35,homepage,view,3

u3,2024-06-21T12:02:00,homepage,view,6
u3,2024-06-21T12:02:06,search,view,5
u3,2024-06-21T12:02:11,restaurant_page: Burger Barn,view,9
u3,2024-06-21T12:02:20,menu_item_page: Cheeseburger,view,8
u3,2024-06-21T12:02:28,cart,add_item,5
u3,2024-06-21T12:02:33,checkout,click,12

u4,2024-06-21T12:03:00,homepage,view,4
u4,2024-06-21T12:03:04,search,view,5
u4,2024-06-21T12:03:09,restaurant_page: Vegan Vibes,view,10
u4,2024-06-21T12:03:19,menu_item_page: Vegan Burger,view,7
u4,2024-06-21T12:03:26,cart,add_item,4
u4,2024-06-21T12:03:30,cart,clear_cart,3

u5,2024-06-21T12:04:00,homepage,view,5
u5,2024-06-21T12:04:05,offers,view,4
u5,2024-06-21T12:04:09,restaurant_page: BBQ Bliss,view,12
u5,2024-06-21T12:04:21,menu_item_page: BBQ Ribs,view,8
u5,2024-06-21T12:04:29,cart,add_item,5
u5,2024-06-21T12:04:34,checkout,click,11

u6,2024-06-21T12:05:00,homepage,view,4
u6,2024-06-21T12:05:04,search,view,5
u6,2024-06-21T12:05:09,restaurant_page: Taco Town,view,10
u6,2024-06-21T12:05:19,menu_item_page: Beef Taco,view,7
u6,2024-06-21T12:05:26,cart,add_item,5
u6,2024-06-21T12:05:31,checkout,click,9

u7,2024-06-21T12:06:00,homepage,view,3
u7,2024-06-21T12:06:03,search,view,4
u7,2024-06-21T12:06:07,restaurant_page: Curry Corner,view,11
u7,2024-06-21T12:06:18,menu_item_page: Chicken Tikka,view,8
u7,2024-06-21T12:06:26,cart,add_item,5
u7,2024-06-21T12:06:31,cart,clear_cart,3

u8,2024-06-21T12:07:00,homepage,view,5
u8,2024-06-21T12:07:05,restaurant_page: Noodle Nook,view,9
u8,2024-06-21T12:07:14,menu_item_page: Chicken Chow Mein,view,7
u8,2024-06-21T12:07:21,cart,add_item,4
u8,2024-06-21T12:07:25,checkout,click,10

u9,2024-06-21T12:08:00,homepage,view,4
u9,2024-06-21T12:08:04,restaurant_page: Salad Studio,view,8
u9,2024-06-21T12:08:12,menu_item_page: Caesar Salad,view,6
u9,2024-06-21T12:08:18,cart,add_item,4
u9,2024-06-21T12:08:22,checkout,click,9

u10,2024-06-21T12:09:00,homepage,view,5
u10,2024-06-21T12:09:05,restaurant_page: Sweet Treats,view,9
u10,2024-06-21T12:09:14,menu_item_page: Chocolate Cake,view,6
u10,2024-06-21T12:09:20,cart,add_item,4
u10,2024-06-21T12:09:24,checkout,click,8
